bill_id,title_de,vote_id,date,parlyear,vote_subject,sign_yes,sign_no,yes_votes,no_votes,abstain_votes,absent_votes,votetype,bill_type,position_ASO,position_mp,mp_id,lastname,firstname,canton,faction_abbreviation,party_abbreviation,issue_institutions,issue_international,issue_security,issue_europe,issue_law,issue_economy,issue_finances,issue_social,issue_education,issue_communication,issue_science,issue_transport,issue_environment,issue_agriculture,issue_energy,issue_int_organizations,issue_parliament,issue_immigration,issue_culture,issue_health,issue_landuse,department_Parl,department_BK,department_BVers,department_BR,department_EDA,department_EDI,department_EJPD,department_VBS,department_EFD,department_EVD,department_UVEK
15.3322,Nutzen des Freizügigkeitsabkommens. Erfassung von Daten über die erwerbstätigen Schweizerinnen und Schweizer im EU-/Efta-Raum,50.5-13808,2016-09-13 12:45:34,2015/16,,Annahme der Motion,Ablehnung der Motion,83,109,1,3,Folge geben/Überweisen,Motion,1,0,74,Eymann,Christoph,BS,RL,FDP-Liberale,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
15.3322,Nutzen des Freizügigkeitsabkommens. Erfassung von Daten über die erwerbstätigen Schweizerinnen und Schweizer im EU-/Efta-Raum,50.5-13808,2016-09-13 12:45:34,2015/16,,Annahme der Motion,Ablehnung der Motion,83,109,1,3,Folge geben/Überweisen,Motion,1,0,91,Giezendanner,Ulrich,AG,V,SVP,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
15.3322,Nutzen des Freizügigkeitsabkommens. Erfassung von Daten über die erwerbstätigen Schweizerinnen und Schweizer im EU-/Efta-Raum,50.5-13808,2016-09-13 12:45:34,2015/16,,Annahme der Motion,Ablehnung der Motion,83,109,1,3,Folge geben/Überweisen,Motion,1,0,173,Reimann,Maximilian,AG,V,SVP,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
15.3322,Nutzen des Freizügigkeitsabkommens. Erfassung von Daten über die erwerbstätigen Schweizerinnen und Schweizer im EU-/Efta-Raum,50.5-13808,2016-09-13 12:45:34,2015/16,,Annahme der Motion,Ablehnung der Motion,83,109,1,3,Folge geben/Überweisen,Motion,1,0,214,Stamm,Luzi,AG,V,SVP,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
15.3322,Nutzen des Freizügigkeitsabkommens. Erfassung von Daten über die erwerbstätigen Schweizerinnen und Schweizer im EU-/Efta-Raum,50.5-13808,2016-09-13 12:45:34,2015/16,,Annahme der Motion,Ablehnung der Motion,83,109,1,3,Folge geben/Überweisen,Motion,1,1,224,Tschäppät,Alexander,BE,S,SP,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
15.3322,Nutzen des Freizügigkeitsabkommens. Erfassung von Daten über die erwerbstätigen Schweizerinnen und Schweizer im EU-/Efta-Raum,50.5-13808,2016-09-13 12:45:34,2015/16,,Annahme der Motion,Ablehnung der Motion,83,109,1,3,Folge geben/Überweisen,Motion,1,0,307,Brunner,Toni,SG,V,SVP,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
15.3322,Nutzen des Freizügigkeitsabkommens. Erfassung von Daten über die erwerbstätigen Schweizerinnen und Schweizer im EU-/Efta-Raum,50.5-13808,2016-09-13 12:45:34,2015/16,,Annahme der Motion,Ablehnung der Motion,83,109,1,3,Folge geben/Überweisen,Motion,1,1,354,Semadeni,Silva,GR,S,SP,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
15.3322,Nutzen des Freizügigkeitsabkommens. Erfassung von Daten über die erwerbstätigen Schweizerinnen und Schweizer im EU-/Efta-Raum,50.5-13808,2016-09-13 12:45:34,2015/16,,Annahme der Motion,Ablehnung der Motion,83,109,1,3,Folge geben/Überweisen,Motion,1,1,487,Leutenegger Oberholzer,Susanne,BL,S,SP,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
15.3322,Nutzen des Freizügigkeitsabkommens. Erfassung von Daten über die erwerbstätigen Schweizerinnen und Schweizer im EU-/Efta-Raum,50.5-13808,2016-09-13 12:45:34,2015/16,,Annahme der Motion,Ablehnung der Motion,83,109,1,3,Folge geben/Überweisen,Motion,1,1,502,Riklin,Kathy,ZH,C,CVP,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
15.3322,Nutzen des Freizügigkeitsabkommens. Erfassung von Daten über die erwerbstätigen Schweizerinnen und Schweizer im EU-/Efta-Raum,50.5-13808,2016-09-13 12:45:34,2015/16,,Annahme der Motion,Ablehnung der Motion,83,109,1,3,Folge geben/Überweisen,Motion,1,0,514,Stahl,Jürg,ZH,V,SVP,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
